analysis	signature_acc	signature_desc	hit_rows	unique_proteins
FunFam	G3DSA:3.30.310.50:FF:000003	Phosphoacetylglucosamine mutase	2	2
FunFam	G3DSA:3.30.310.80:FF:000011	Non-specific serine/threonine protein kinase	2	2
FunFam	G3DSA:3.30.360.10:FF:000016	Probable aspartate-semialdehyde dehydrogenase	2	2
FunFam	G3DSA:3.30.390.110:FF:000001	Protein MAK16 homolog	2	2
FunFam	G3DSA:3.30.40.10:FF:000287	RING finger membrane protein	2	2
FunFam	G3DSA:3.30.40.10:FF:000396	Ubiquitin carboxyl-terminal hydrolase	2	2
FunFam	G3DSA:3.30.420.10:FF:000007	Interferon-stimulated exonuclease gene 20	2	2
FunFam	G3DSA:3.30.420.10:FF:000031	RNA exonuclease 1	2	2
FunFam	G3DSA:3.30.420.10:FF:000048	CCR4-associated factor 1, putative	2	2
FunFam	G3DSA:3.30.420.40:FF:000020	Chaperone protein HscA homolog	2	2
FunFam	G3DSA:3.30.420.40:FF:000131	Actin, alpha skeletal muscle	2	2
FunFam	G3DSA:3.30.420.40:FF:000291	Actin, alpha skeletal muscle	2	2
FunFam	G3DSA:3.30.420.40:FF:000545	Endoplasmic reticulum chaperone BiP	2	2
FunFam	G3DSA:3.30.420.80:FF:000002	40S ribosomal protein S14	2	2
FunFam	G3DSA:3.30.450.190:FF:000002	Ras-related GTP-binding protein A	2	2
FunFam	G3DSA:3.30.450.30:FF:000029	Dynein light chain roadblock	2	2
FunFam	G3DSA:3.30.450.60:FF:000003	Coatomer subunit delta	2	2
FunFam	G3DSA:3.30.450.60:FF:000006	AP-1 complex subunit mu-1 isoform 1	2	2
FunFam	G3DSA:3.30.470.20:FF:000015	Phosphoribosylaminoimidazole-succinocarboxamide synthase	2	2
FunFam	G3DSA:3.30.470.20:FF:000028	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	2	2
FunFam	G3DSA:3.30.470.20:FF:000037	Phosphoribosylaminoimidazole carboxylase, chloroplastic	2	2
FunFam	G3DSA:3.30.479.30:FF:000001	Prohibitin 2	2	2
FunFam	G3DSA:3.30.499.10:FF:000003	Aconitate hydratase, mitochondrial	2	2
FunFam	G3DSA:3.30.56.70:FF:000001	tRNA (guanine(26)-N(2))-dimethyltransferase	2	2
FunFam	G3DSA:3.30.60.60:FF:000001	Histone acetyltransferase	2	2
FunFam	G3DSA:3.30.60.90:FF:000008	Transcriptional adapter 2	2	2
FunFam	G3DSA:3.30.70.1170:FF:000001	Ribosomal RNA methyltransferase Nop2	2	2
FunFam	G3DSA:3.30.70.120:FF:000003	ATP phosphoribosyltransferase	2	2
FunFam	G3DSA:3.30.70.1230:FF:000050	Guanylate cyclase	2	2
FunFam	G3DSA:3.30.70.1400:FF:000001	Aminomethyltransferase	2	2
FunFam	G3DSA:3.30.70.141:FF:000002	Nucleoside diphosphate kinase	2	2
FunFam	G3DSA:3.30.70.20:FF:000002	NADH-ubiquinone oxidoreductase 75 kDa subunit	2	2
FunFam	G3DSA:3.30.70.240:FF:000003	Translation elongation factor 2	2	2
FunFam	G3DSA:3.30.70.240:FF:000006	Elongation factor like GTPase 1	2	2
FunFam	G3DSA:3.30.70.240:FF:000007	Translation factor GUF1, mitochondrial	2	2
FunFam	G3DSA:3.30.70.2570:FF:000001	Translation factor GUF1, mitochondrial	2	2
FunFam	G3DSA:3.30.70.3000:FF:000001	tRNA(His) guanylyltransferase	2	2
FunFam	G3DSA:3.30.70.330:FF:000121	Splicing factor 3b subunit 4	2	2
FunFam	G3DSA:3.30.70.330:FF:000132	Small nuclear ribonucleoprotein U11/U12 subunit 35	2	2
FunFam	G3DSA:3.30.70.330:FF:000287	Peptidyl-prolyl cis-trans isomerase	2	2
FunFam	G3DSA:3.30.70.330:FF:000502	Pre-mRNA-splicing factor cwc2, putative	2	2
FunFam	G3DSA:3.30.70.330:FF:000538	Nuclear cap-binding protein subunit 2	2	2
FunFam	G3DSA:3.30.70.580:FF:000002	tRNA pseudouridine synthase	2	2
FunFam	G3DSA:3.30.70.870:FF:000004	Translation factor GUF1, mitochondrial	2	2
FunFam	G3DSA:3.30.70.890:FF:000005	Diphosphomevalonate decarboxylase	2	2
FunFam	G3DSA:3.30.710.10:FF:000035	Elongin C transcription elongation factor	2	2
FunFam	G3DSA:3.30.710.10:FF:000124	Protein CBG09126	2	2
FunFam	G3DSA:3.30.710.10:FF:000133	Suppressor of kinetochore protein 1	2	2
FunFam	G3DSA:3.30.720.90:FF:000001	60S ribosomal protein L38	2	2
FunFam	G3DSA:3.30.740.10:FF:000001	Dynein light chain	2	2
FunFam	G3DSA:3.30.810.10:FF:000001	1-phosphatidylinositol 3-phosphate 5-kinase FAB1	2	2
FunFam	G3DSA:3.30.830.10:FF:000039	Ubiquinol-cytochrome c reductase core subunit 2	2	2
FunFam	G3DSA:3.30.980.10:FF:000004	Alanine--tRNA ligase, cytoplasmic	2	2
FunFam	G3DSA:3.30.980.10:FF:000005	Threonyl-tRNA synthetase, mitochondrial	2	2
FunFam	G3DSA:3.40.1110.10:FF:000087	Phospholipid-transporting ATPase	2	2
FunFam	G3DSA:3.40.1160.10:FF:000018	Glutamate 5-kinase	2	2
FunFam	G3DSA:3.40.1160.10:FF:000023	Probable aspartokinase	2	2
FunFam	G3DSA:3.40.1160.10:FF:000046	N-acetylglutamate kinase / N-acetylglutamate synthase	2	2
FunFam	G3DSA:3.40.120.10:FF:000015	Phosphoacetylglucosamine mutase	2	2
FunFam	G3DSA:3.40.120.10:FF:000038	Phosphoacetylglucosamine mutase	2	2
FunFam	G3DSA:3.40.140.10:FF:000001	26S proteasome non-ATPase regulatory subunit	2	2
FunFam	G3DSA:3.40.140.10:FF:000002	Pre-mRNA-processing-splicing factor 8	2	2
FunFam	G3DSA:3.40.140.10:FF:000003	COP9 signalosome complex subunit 5	2	2
FunFam	G3DSA:3.40.140.20:FF:000003	Bifunctional purine biosynthesis protein	2	2
FunFam	G3DSA:3.40.140.70:FF:000001	Ubiquitin-like modifier-activating enzyme atg7	2	2
FunFam	G3DSA:3.40.190.10:FF:000005	Porphobilinogen deaminase	2	2
FunFam	G3DSA:3.40.190.10:FF:000123	HIS1p ATP phosphoribosyltransferase	2	2
FunFam	G3DSA:3.40.20.10:FF:000018	Coactosin-like 1	2	2
FunFam	G3DSA:3.40.225.10:FF:000003	Methylthioribulose-1-phosphate dehydratase	2	2
FunFam	G3DSA:3.40.30.10:FF:000013	Blast:Protein SCO1 homolog, mitochondrial	2	2
FunFam	G3DSA:3.40.30.10:FF:000017	Protein disulfide-isomerase A4	2	2
FunFam	G3DSA:3.40.30.10:FF:000022	NADH dehydrogenase flavoprotein 2, mitochondrial	2	2
FunFam	G3DSA:3.40.309.10:FF:000002	Methylmalonate-semialdehyde dehydrogenase (Acylating)	2	2
FunFam	G3DSA:3.40.309.10:FF:000006	Gamma-glutamyl phosphate reductase	2	2
FunFam	G3DSA:3.40.309.10:FF:000012	Betaine aldehyde dehydrogenase	2	2
FunFam	G3DSA:3.40.309.10:FF:000018	Alpha-aminoadipic semialdehyde dehydrogenase	2	2
FunFam	G3DSA:3.40.390.10:FF:000006	Thimet oligopeptidase 1	2	2
FunFam	G3DSA:3.40.50.1000:FF:000009	Phospholipid-transporting ATPase	2	2
FunFam	G3DSA:3.40.50.1000:FF:000144	copper-transporting ATPase 1 isoform X2	2	2
FunFam	G3DSA:3.40.50.1000:FF:000192	CTD small phosphatase-like protein	2	2
FunFam	G3DSA:3.40.50.1000:FF:000211	Plasma membrane ATPase	2	2
FunFam	G3DSA:3.40.50.10050:FF:000002	Eukaryotic translation initiation factor 5B	2	2
FunFam	G3DSA:3.40.50.1010:FF:000006	rRNA-processing protein UTP23 homolog	2	2
FunFam	G3DSA:3.40.50.1010:FF:000020	20S-pre-rRNA D-site endonuclease NOB1	2	2
FunFam	G3DSA:3.40.50.1010:FF:000111	Exonuclease 1	2	2
FunFam	G3DSA:3.40.50.10130:FF:000001	DNA excision repair protein ERCC-1	2	2
FunFam	G3DSA:3.40.50.10190:FF:000001	Replication factor C subunit 1	2	2
FunFam	G3DSA:3.40.50.10480:FF:000001	IMP4, U3 small nucleolar ribonucleoprotein	2	2
FunFam	G3DSA:3.40.50.10480:FF:000009	Ribosome biogenesis protein, putative	2	2
FunFam	G3DSA:3.40.50.10490:FF:000001	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	2	2
FunFam	G3DSA:3.40.50.10580:FF:000002	V-type proton ATPase subunit F	2	2
FunFam	G3DSA:3.40.50.10810:FF:000005	Photoperiod-independent early flowering 1	2	2
FunFam	G3DSA:3.40.50.10860:FF:000012	Methylenetetrahydrofolate dehydrogenase [NAD(+)]	2	2
FunFam	G3DSA:3.40.50.1100:FF:000004	Tryptophan synthase beta chain	2	2
FunFam	G3DSA:3.40.50.1100:FF:000008	L-threonine dehydratase	2	2
FunFam	G3DSA:3.40.50.1100:FF:000010	Cystathionine beta-synthase	2	2
FunFam	G3DSA:3.40.50.1100:FF:000096	Related to cysteine synthase	2	2
FunFam	G3DSA:3.40.50.11040:FF:000002	RNA cytidine acetyltransferase	2	2
FunFam	G3DSA:3.40.50.1220:FF:000001	Electron transfer flavoprotein, alpha subunit	2	2
FunFam	G3DSA:3.40.50.1220:FF:000008	Acetolactate synthase	2	2
FunFam	G3DSA:3.40.50.12280:FF:000001	NADH-quinone oxidoreductase subunit B 2	2	2
FunFam	G3DSA:3.40.50.12780:FF:000045	Acetyl-CoA synthetase, putative	2	2
FunFam	G3DSA:3.40.50.1370:FF:000002	Aspartate carbamoyltransferase 2	2	2
FunFam	G3DSA:3.40.50.1370:FF:000005	CAD protein-like isoform X1	2	2
FunFam	G3DSA:3.40.50.1380:FF:000003	Bifunctional purine biosynthesis protein	2	2
FunFam	G3DSA:3.40.50.1380:FF:000005	CAD protein-like isoform X1	2	2
FunFam	G3DSA:3.40.50.1400:FF:000001	Ferrochelatase	2	2
FunFam	G3DSA:3.40.50.1440:FF:000006	Tubulin beta chain	2	2
FunFam	G3DSA:3.40.50.150:FF:000001	Fibrillarin like 1	2	2
FunFam	G3DSA:3.40.50.150:FF:000034	Protein arginine N-methyltransferase 3	2	2
FunFam	G3DSA:3.40.50.150:FF:000077	HemK methyltransferase family member 2	2	2
FunFam	G3DSA:3.40.50.150:FF:000195	Methyltransferase domain containing protein	2	2
FunFam	G3DSA:3.40.50.150:FF:000247	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61	2	2
FunFam	G3DSA:3.40.50.1820:FF:000005	Prolyl endopeptidase	2	2
FunFam	G3DSA:3.40.50.1820:FF:000073	esterase OVCA2 isoform X6	2	2
FunFam	G3DSA:3.40.50.1970:FF:000013	Phosphoribosylaminoimidazole carboxylase	2	2
FunFam	G3DSA:3.40.50.1980:FF:000001	Histidinol dehydrogenase	2	2
FunFam	G3DSA:3.40.50.1980:FF:000050	Histidine biosynthesis trifunctional protein	2	2
FunFam	G3DSA:3.40.50.2000:FF:000003	Alpha-1,4 glucan phosphorylase	2	2
FunFam	G3DSA:3.40.50.2020:FF:000008	Orotate phosphoribosyltransferase	2	2
FunFam	G3DSA:3.40.50.2020:FF:000023	Probable uracil phosphoribosyltransferase	2	2
FunFam	G3DSA:3.40.50.2020:FF:000053	Hypoxanthine phosphoribosyltransferase	2	2
FunFam	G3DSA:3.40.50.20:FF:000005	acetyl-CoA carboxylase isoform X2	2	2
FunFam	G3DSA:3.40.50.2300:FF:000039	RNA polymerase II subunit A C-terminal domain phosphatase	2	2
FunFam	G3DSA:3.40.50.300:FF:000007	Pre-mRNA-splicing factor ATP-dependent RNA helicase	2	2
FunFam	G3DSA:3.40.50.300:FF:000012	Transitional endoplasmic reticulum ATPase	2	2
FunFam	G3DSA:3.40.50.300:FF:000022	Signal recognition particle 54 kDa subunit	2	2
FunFam	G3DSA:3.40.50.300:FF:000032	Export ABC transporter ATP-binding protein	2	2
FunFam	G3DSA:3.40.50.300:FF:000033	26S protease regulatory subunit 6B	2	2
FunFam	G3DSA:3.40.50.300:FF:000039	26S proteasome regulatory subunit 4	2	2
FunFam	G3DSA:3.40.50.300:FF:000043	Vacuolar protein sorting-associated protein 4	2	2
FunFam	G3DSA:3.40.50.300:FF:000063	dynein heavy chain 6, axonemal	2	2
FunFam	G3DSA:3.40.50.300:FF:000077	Probable DNA repair helicase RAD25	2	2
FunFam	G3DSA:3.40.50.300:FF:000078	Elongation factor 4	2	2
FunFam	G3DSA:3.40.50.300:FF:000079	probable ATP-dependent RNA helicase DDX17	2	2
FunFam	G3DSA:3.40.50.300:FF:000086	Ras-related small GTPase	2	2
FunFam	G3DSA:3.40.50.300:FF:000088	Ras-related C3 botulinum toxin substrate 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000089	Eukaryotic initiation factor 4A-II	2	2
FunFam	G3DSA:3.40.50.300:FF:000092	DNA repair protein Rad51 homolog	2	2
FunFam	G3DSA:3.40.50.300:FF:000093	Fidgetin-like 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000097	Regulator of nonsense transcripts 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000101	Pre-mRNA-splicing factor ATP-dependent RNA helicase	2	2
FunFam	G3DSA:3.40.50.300:FF:000105	BMS1 ribosome biogenesis factor	2	2
FunFam	G3DSA:3.40.50.300:FF:000109	Peroxisomal biogenesis factor 6	2	2
FunFam	G3DSA:3.40.50.300:FF:000112	Eukaryotic translation initiation factor 5B	2	2
FunFam	G3DSA:3.40.50.300:FF:000115	DNA helicase	2	2
FunFam	G3DSA:3.40.50.300:FF:000128	Putative DNA repair helicase RAD3	2	2
FunFam	G3DSA:3.40.50.300:FF:000135	DNA repair helicase RAD3, putative	2	2
FunFam	G3DSA:3.40.50.300:FF:000145	probable ATP-dependent RNA helicase DHX40	2	2
FunFam	G3DSA:3.40.50.300:FF:000149	Nuclear valosin-containing protein-like	2	2
FunFam	G3DSA:3.40.50.300:FF:000159	Katanin p60 ATPase-containing subunit A1	2	2
FunFam	G3DSA:3.40.50.300:FF:000188	signal recognition particle receptor subunit alpha	2	2
FunFam	G3DSA:3.40.50.300:FF:000204	Translation elongation factor Tu	2	2
FunFam	G3DSA:3.40.50.300:FF:000207	CTP synthase	2	2
FunFam	G3DSA:3.40.50.300:FF:000269	ATP-dependent RNA helicase SUPV3L1, mitochondrial	2	2
FunFam	G3DSA:3.40.50.300:FF:000320	Dynein, axonemal, heavy chain 5	2	2
FunFam	G3DSA:3.40.50.300:FF:000338	GPN-loop GTPase 2	2	2
FunFam	G3DSA:3.40.50.300:FF:000354	ATP-dependent RNA helicase SKI2	2	2
FunFam	G3DSA:3.40.50.300:FF:000363	Secretion related GTPase srgA	2	2
FunFam	G3DSA:3.40.50.300:FF:000365	Ribosome biogenesis ATPase RIX7	2	2
FunFam	G3DSA:3.40.50.300:FF:000367	ABC transporter G family member 24	2	2
FunFam	G3DSA:3.40.50.300:FF:000395	Replication factor C subunit 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000411	dynein heavy chain 17, axonemal	2	2
FunFam	G3DSA:3.40.50.300:FF:000412	ADP-ribosylation factor 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000473	Vacuolar sorting-associated 1 protein	2	2
FunFam	G3DSA:3.40.50.300:FF:000479	Multidrug resistance protein 1A	2	2
FunFam	G3DSA:3.40.50.300:FF:000485	Dephospho-CoA kinase CAB5	2	2
FunFam	G3DSA:3.40.50.300:FF:000514	Ribosome-releasing factor 2, mitochondrial	2	2
FunFam	G3DSA:3.40.50.300:FF:000538	ATPase family AAA domain-containing protein 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000554	ADP-ribosylation factor 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000579	GPN-loop GTPase	2	2
FunFam	G3DSA:3.40.50.300:FF:000587	von Willebrand factor A domain containing 8	2	2
FunFam	G3DSA:3.40.50.300:FF:000610	Multidrug resistance-associated ABC transporter	2	2
FunFam	G3DSA:3.40.50.300:FF:000746	Ribosome assembly protein 1	2	2
FunFam	G3DSA:3.40.50.300:FF:000776	Guanylate kinase 2	2	2
FunFam	G3DSA:3.40.50.300:FF:000945	Dynein axonemal heavy chain 9	2	2
FunFam	G3DSA:3.40.50.300:FF:000987	DEAD/DEAH box RNA helicase	2	2
FunFam	G3DSA:3.40.50.300:FF:001027	dynamin-related protein 3A	2	2
FunFam	G3DSA:3.40.50.300:FF:001080	Dynein, axonemal, heavy chain 5	2	2
FunFam	G3DSA:3.40.50.300:FF:001145	Putative dynein heavy chain	2	2
FunFam	G3DSA:3.40.50.300:FF:001221	Axonemal dynein heavy chain 8	2	2
FunFam	G3DSA:3.40.50.300:FF:001328	Dynein heavy chain 6, axonemal	2	2
FunFam	G3DSA:3.40.50.300:FF:002218	tRNA(Met) cytidine acetyltransferase TmcA	2	2
FunFam	G3DSA:3.40.50.300:FF:002307	Guanine nucleotide-binding protein G(k) subunit alpha	2	2
FunFam	G3DSA:3.40.50.300:FF:004162	ATP binding cassette subfamily C member 5	2	2
FunFam	G3DSA:3.40.50.360:FF:000059	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	2	2
FunFam	G3DSA:3.40.50.460:FF:000007	ATP-dependent 6-phosphofructokinase	2	2
FunFam	G3DSA:3.40.50.460:FF:000008	ATP-dependent 6-phosphofructokinase	2	2
FunFam	G3DSA:3.40.50.620:FF:000019	Argininosuccinate synthase	2	2
FunFam	G3DSA:3.40.50.620:FF:000045	Glutamate--tRNA ligase, mitochondrial	2	2
FunFam	G3DSA:3.40.50.620:FF:000111	Mitochondrial isoleucyl-tRNA synthetase	2	2
FunFam	G3DSA:3.40.50.670:FF:000001	DNA topoisomerase 2	2	2
FunFam	G3DSA:3.40.50.720:FF:000006	Bifunctional protein FolD	2	2
FunFam	G3DSA:3.40.50.720:FF:000007	6-phosphogluconate dehydrogenase, decarboxylating	2	2
FunFam	G3DSA:3.40.50.720:FF:000009	Fatty oxidation complex, alpha subunit	2	2
FunFam	G3DSA:3.40.50.720:FF:000010	Malate dehydrogenase	2	2
FunFam	G3DSA:3.40.50.720:FF:000022	Cinnamyl alcohol dehydrogenase	2	2
FunFam	G3DSA:3.40.50.720:FF:000033	Adenylyltransferase and sulfurtransferase MOCS3	2	2
FunFam	G3DSA:3.40.50.720:FF:000217	Saccharopine dehydrogenase [NAD(+), L-lysine-forming]	2	2
FunFam	G3DSA:3.40.50.720:FF:000304	UDP-glucose 4,6-dehydratase	2	2
FunFam	G3DSA:3.40.50.740:FF:000012	NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 mitochondrial	2	2
FunFam	G3DSA:3.40.50.790:FF:000002	Ribosomal protein	2	2
FunFam	G3DSA:3.40.50.800:FF:000003	Threonine--tRNA ligase 2, cytoplasmic	2	2
FunFam	G3DSA:3.40.50.80:FF:000001	NADPH--cytochrome P450 reductase 1	2	2
FunFam	G3DSA:3.40.50.80:FF:000009	NADH-cytochrome b5 reductase	2	2
FunFam	G3DSA:3.40.50.80:FF:000019	NADH-cytochrome b5 reductase	2	2
FunFam	G3DSA:3.40.50.880:FF:000005	CTP synthase	2	2
FunFam	G3DSA:3.40.50.880:FF:000031	Multifunctional tryptophan biosynthesis protein	2	2
FunFam	G3DSA:3.40.50.920:FF:000003	Transketolase	2	2
FunFam	G3DSA:3.40.50.920:FF:000004	2-oxoisovalerate dehydrogenase subunit beta 1, mitochondrial	2	2
FunFam	G3DSA:3.40.50.970:FF:000001	Pyruvate dehydrogenase E1 beta subunit	2	2
FunFam	G3DSA:3.40.50.970:FF:000007	Acetolactate synthase	2	2
FunFam	G3DSA:3.40.50.970:FF:000015	2-oxoisovalerate dehydrogenase subunit alpha	2	2
FunFam	G3DSA:3.40.605.10:FF:000001	Aldehyde dehydrogenase 1	2	2
FunFam	G3DSA:3.40.630.30:FF:000001	Histone acetyltransferase	2	2
FunFam	G3DSA:3.40.630.30:FF:000064	GNAT family acetyltransferase	2	2
FunFam	G3DSA:3.40.640.10:FF:000003	Cysteine desulfurase IscS	2	2
FunFam	G3DSA:3.40.640.10:FF:000004	Acetylornithine aminotransferase	2	2
FunFam	G3DSA:3.40.640.10:FF:000005	Glycine dehydrogenase (decarboxylating), mitochondrial	2	2
FunFam	G3DSA:3.40.640.10:FF:000009	Cystathionine gamma-synthase homolog	2	2
FunFam	G3DSA:3.40.640.10:FF:000010	Phosphoserine aminotransferase	2	2
FunFam	G3DSA:3.40.640.10:FF:000020	sphingosine-1-phosphate lyase 1	2	2
FunFam	G3DSA:3.40.640.10:FF:000024	Kynurenine--oxoglutarate transaminase 3	2	2
FunFam	G3DSA:3.40.640.10:FF:000050	Serine hydroxymethyltransferase	2	2
FunFam	G3DSA:3.40.640.10:FF:000064	Aspartate aminotransferase	2	2
FunFam	G3DSA:3.40.718.10:FF:000002	Isocitrate dehydrogenase [NADP]	2	2
FunFam	G3DSA:3.40.800.10:FF:000005	Arginase	2	2
FunFam	G3DSA:3.40.800.20:FF:000001	Histone deacetylase	2	2
FunFam	G3DSA:3.40.850.10:FF:000012	Kinesin-like protein	2	2
FunFam	G3DSA:3.40.850.10:FF:000029	Kinesin-like protein KIF17	2	2
FunFam	G3DSA:3.40.970.10:FF:000002	Ribonuclease H	2	2
FunFam	G3DSA:3.50.50.60:FF:000002	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	2	2
FunFam	G3DSA:3.50.50.60:FF:000021	Ubiquinone biosynthesis monooxygenase COQ6	2	2
FunFam	G3DSA:3.50.50.60:FF:000034	sulfide:quinone oxidoreductase, mitochondrial	2	2
FunFam	G3DSA:3.50.50.60:FF:000171	zeta-carotene-forming phytoene desaturase	2	2
FunFam	G3DSA:3.50.50.60:FF:000220	UDP-galactopyranose mutase	2	2
FunFam	G3DSA:3.50.7.10:FF:000001	60 kDa chaperonin	2	2
FunFam	G3DSA:3.50.7.10:FF:000003	T-complex protein 1 subunit epsilon	2	2
FunFam	G3DSA:3.50.7.10:FF:000007	1-phosphatidylinositol 3-phosphate 5-kinase isoform X1	2	2
FunFam	G3DSA:3.50.7.10:FF:000009	T-complex protein 1 subunit alpha	2	2
FunFam	G3DSA:3.60.110.10:FF:000002	Nitrilase family member 2	2	2
FunFam	G3DSA:3.60.130.10:FF:000001	Trimethyllysine dioxygenase, mitochondrial	2	2
FunFam	G3DSA:3.60.20.10:FF:000003	Proteasome subunit beta type-3	2	2
FunFam	G3DSA:3.60.20.10:FF:000008	Proteasome subunit beta type-4	2	2
FunFam	G3DSA:3.60.20.10:FF:000016	Proteasome subunit alpha type-6	2	2
FunFam	G3DSA:3.60.21.10:FF:000003	Serine/threonine-protein phosphatase	2	2
FunFam	G3DSA:3.60.21.10:FF:000005	Serine/threonine-protein phosphatase	2	2
FunFam	G3DSA:3.80.10.10:FF:000026	U2 small nuclear ribonucleoprotein A	2	2
FunFam	G3DSA:3.90.1010.10:FF:000008	Iron-sulfur cluster assembly enzyme	2	2
FunFam	G3DSA:3.90.110.10:FF:000002	Malate dehydrogenase	2	2
FunFam	G3DSA:3.90.1150.10:FF:000002	Cysteine desulfurase IscS	2	2
FunFam	G3DSA:3.90.1150.10:FF:000006	Phosphoserine aminotransferase	2	2
FunFam	G3DSA:3.90.1150.10:FF:000008	Cystathionine gamma-synthase	2	2
FunFam	G3DSA:3.90.1150.10:FF:000021	Kynurenine--oxoglutarate transaminase 3	2	2
FunFam	G3DSA:3.90.1150.210:FF:000003	F-actin-capping protein subunit alpha	2	2
FunFam	G3DSA:3.90.1260.10:FF:000003	Argininosuccinate synthase	2	2
FunFam	G3DSA:3.90.190.10:FF:000035	Tyrosine phosphatase, putative	2	2
FunFam	G3DSA:3.90.190.10:FF:000038	Tyrosine-protein phosphatase CDC14	2	2
FunFam	G3DSA:3.90.190.10:FF:000086	Protein tyrosine phosphatase-like protein	2	2
FunFam	G3DSA:3.90.190.10:FF:000157	Protein-tyrosine phosphatase	2	2
FunFam	G3DSA:3.90.226.10:FF:000016	Propionyl-CoA carboxylase, beta subunit	2	2
FunFam	G3DSA:3.90.226.10:FF:000017	Propionyl-CoA carboxylase subunit beta 5	2	2
FunFam	G3DSA:3.90.226.10:FF:000021	Acetyl-CoA carboxylase carboxyltransferase subunit	2	2
FunFam	G3DSA:3.90.226.10:FF:000024	Delta3,5-delta2,4-dienoyl-CoA isomerase	2	2
FunFam	G3DSA:3.90.430.10:FF:000001	Copper fist DNA-binding protein	2	2
FunFam	G3DSA:3.90.550.10:FF:000013	mannose-1-phosphate guanyltransferase beta	2	2
FunFam	G3DSA:3.90.640.10:FF:000001	Actin, muscle	2	2
FunFam	G3DSA:3.90.650.10:FF:000019	Trifunctional purine biosynthetic protein adenosine-3	2	2
FunFam	G3DSA:3.90.740.10:FF:000001	Leucine--tRNA ligase, cytoplasmic	2	2
FunFam	G3DSA:3.90.740.10:FF:000005	Valine--tRNA ligase, mitochondrial	2	2
FunFam	G3DSA:4.10.1000.10:FF:000050	AGAP008634-PA	2	2
FunFam	G3DSA:4.10.1250.10:FF:000002	Aminomethyltransferase	2	2
FunFam	G3DSA:4.10.800.20:FF:000001	AMP deaminase	2	2
Gene3D	G3DSA:1.10.10.1200	MAGE homology domain, winged helix WH1 motif	2	2
Gene3D	G3DSA:1.10.10.1210	MAGE homology domain, winged helix WH2 motif	2	2
Gene3D	G3DSA:1.10.10.140	Cytochrome c oxidase, subunit VIb	2	2
Gene3D	G3DSA:1.10.10.1590		2	2
Gene3D	G3DSA:1.10.10.160		2	2
Gene3D	G3DSA:1.10.10.1760	60S ribosomal protein L36	2	2
Gene3D	G3DSA:1.10.10.2030		2	2
Gene3D	G3DSA:1.10.10.2130		2	2
Gene3D	G3DSA:1.10.10.2150		2	2
Gene3D	G3DSA:1.10.10.350		2	2
Gene3D	G3DSA:1.10.10.460	Ribonuclease hii. Domain 2	2	2
Gene3D	G3DSA:1.10.10.540		2	2
Gene3D	G3DSA:1.10.10.850		2	2
Gene3D	G3DSA:1.10.10.900		2	2
Gene3D	G3DSA:1.10.1030.10		2	2
Gene3D	G3DSA:1.10.1080.10	Glutathione Synthetase; Chain A, domain 3	2	2
Gene3D	G3DSA:1.10.1140.10		2	2
Gene3D	G3DSA:1.10.1160.10		2	2
Gene3D	G3DSA:1.10.132.20		2	2
Gene3D	G3DSA:1.10.132.50	ATP synthase (C/AC39) subunit, domain 3	2	2
Gene3D	G3DSA:1.10.1390.10		2	2
Gene3D	G3DSA:1.10.150.250	Flavinator of succinate dehydrogenase	2	2
Gene3D	G3DSA:1.10.150.340		2	2
Gene3D	G3DSA:1.10.150.570		2	2
Gene3D	G3DSA:1.10.150.810		2	2
Gene3D	G3DSA:1.10.150.910		2	2
Gene3D	G3DSA:1.10.1510.10		2	2
Gene3D	G3DSA:1.10.1540.10	BEACH domain	2	2
Gene3D	G3DSA:1.10.1610.10		2	2
Gene3D	G3DSA:1.10.1620.10	Ribosomal protein L39e	2	2
Gene3D	G3DSA:1.10.1620.20	ATP synthase, F1 complex, epsilon  subunit superfamily, mitochondrial	2	2
Gene3D	G3DSA:1.10.168.10	Phosducin, domain 2	2	2
Gene3D	G3DSA:1.10.1760.10		2	2
Gene3D	G3DSA:1.10.1780.10		2	2
Gene3D	G3DSA:1.10.1870.10	Domain 3, Saccharopine reductase	2	2
Gene3D	G3DSA:1.10.20.120		2	2
Gene3D	G3DSA:1.10.20.70		2	2
Gene3D	G3DSA:1.10.238.260		2	2
Gene3D	G3DSA:1.10.245.10	SWIB/MDM2 domain	2	2
Gene3D	G3DSA:1.10.246.140		2	2
Gene3D	G3DSA:1.10.246.190	Autophagy protein Apg5, helix rich domain	2	2
Gene3D	G3DSA:1.10.246.220		2	2
Gene3D	G3DSA:1.10.260.30		2	2
Gene3D	G3DSA:1.10.260.80		2	2
